Variável preditora;Coeficiente;Erro padrão;Valor z;Pr(>|z|)
(Intercept);34.794;1380.479;0.025;0.98
satisfaction_score_4;-60.216;1747.677;-0.034;0.973
satisfaction_score_5;-60.679;1970.931;-0.031;0.975
satisfaction_score_3;-38.961;1380.479;-0.028;0.977
flg_online_security1;-3.701;0.451;-8.214;0
number_of_referrals;-0.672;0.11;-6.115;0
monthly_charge;0.077;0.012;6.242;0
tx_concentracao_cobranca_mes_q3;2.176;0.364;5.976;0
contract_Two_Year;-2.364;0.425;-5.558;0
flg_married1;1.832;0.286;6.396;0
number_of_dependents;-0.964;0.191;-5.048;0
county_San_Diego_County;1.312;0.29;4.524;0
flg_premium_tech_support1;-0.933;0.249;-3.753;0
flg_phone_service1;-2.376;0.573;-4.149;0
contract_One_Year;-0.851;0.279;-3.051;0.002
offer_Offer_E;0.611;0.275;2.223;0.026
county_Mendocino_County;-18.072;2180.543;-0.008;0.993
offer_Offer_A;1.477;0.537;2.748;0.006
county_Lake_County;-16.676;1029.119;-0.016;0.987
age;0.014;0.006;2.441;0.015
county_Nevada_County;-18.672;2308.246;-0.008;0.994
tx_contrib_cobrancas_extras_cobranca_geral;5.731;2.018;2.84;0.005
county_Fresno_County;1.038;0.542;1.914;0.056
county_El_Dorado_County;1.444;0.828;1.743;0.081
county_Tulare_County;-1.463;0.806;-1.816;0.069
total_charges;-0;0;-2.647;0.008
county_San_Mateo_County;-1.743;1.12;-1.556;0.12
avg_monthly_long_distance_charges;-0.05;0.019;-2.626;0.009
valor_cobrancas_extras;0.001;0;2.098;0.036
internet_type_Fiber_Optic;-0.792;0.371;-2.135;0.033
flg_online_backup1;-0.395;0.231;-1.711;0.087
