descricao;Ponto de corte;Acurácia;Sensitividade;Especificidade;AUC
Random forest caret;0.1;0.8910984848484849;0.9839285714285714;0.8576030927835051;0.9884325524668631
Random forest caret;0.15000000000000002;0.9232954545454546;0.9714285714285714;0.9059278350515464;0.9884325524668631
Random forest caret;0.2;0.9356060606060606;0.9607142857142857;0.9265463917525774;0.9884325524668631
Random forest caret;0.25;0.943655303030303;0.95;0.9413659793814433;0.9884325524668631
Random forest caret;0.30000000000000004;0.9483901515151515;0.9321428571428572;0.9542525773195877;0.9884325524668631
Random forest caret;0.35;0.9545454545454546;0.9232142857142858;0.9658505154639175;0.9884325524668631
Random forest caret;0.4;0.9550189393939394;0.9160714285714285;0.9690721649484536;0.9884325524668631
Random forest caret;0.45000000000000007;0.9597537878787878;0.9142857142857143;0.976159793814433;0.9884325524668631
Random forest caret;0.5;0.962594696969697;0.9017857142857143;0.9845360824742269;0.9884325524668631
Random forest caret;0.55;0.9630681818181818;0.8928571428571429;0.9884020618556701;0.9884325524668631
Random forest caret;0.6;0.9602272727272727;0.8714285714285714;0.9922680412371134;0.9884325524668631
Random forest caret;0.65;0.9540719696969697;0.8410714285714286;0.9948453608247423;0.9884325524668631
Random forest caret;0.7000000000000001;0.9479166666666666;0.8142857142857143;0.9961340206185567;0.9884325524668631
Random forest caret;0.75;0.9450757575757576;0.7964285714285714;0.9987113402061856;0.9884325524668631
Random forest caret;0.8;0.9417613636363636;0.7839285714285714;0.9987113402061856;0.9884325524668631
Random forest caret;0.85;0.9365530303030303;0.7625;0.9993556701030928;0.9884325524668631
Random forest caret;0.9;0.9223484848484849;0.7071428571428572;1;0.9884325524668631
